Voltage,Current
1771,741
565,527
622,795
1035,1335
1598,1843
1985,2023
1988,1808
1570,1243
1014,743
602,539
578,733
941,1244
1522,1815
1970,2011
2007,1841
1650,1336
1080,789
636,516
531,695
906,1188
1463,1727
1936,2031
2029,1885
1719,1426
1196,838
672,540
570,647
852,1104
1387,1682
1843,1978
2015,1920
1772,1481
1222,907
709,555
535,615
794,1067
1338,1636
1849,1996
2042,1971
1812,1539
1273,984
752,553
527,590
794,947
1261,1555
1791,1954
2030,1974
1855,1597
1350,1039
791,598
536,568
687,907
1199,1499
1731,1963
2043,2009
1962,1677
1434,1120
890,637
537,535
627,855
1104,1431
1677,1897
2026,2017
1936,1712
1492,1176
905,686
575,513
613,795
1021,1330
1604,1854
2004,2036
1987,1778
1571,1249
1000,733
598,525
591,744
985,1268
1550,1792
1966,2042
2007,1883
1638,1374
1066,769
652,570
561,688
910,1197
1488,1751
1936,2037
2018,1902
1698,1377
1130,830
665,535
554,650
877,1129
1416,1701
1883,2015
2040,1914
1772,1459
1207,876
700,544
517,635
804,1070
1340,1634
1857,1985
2051,1923
1805,1516
1266,959
714,576
542,584
758,987
1281,1583
1836,1984
2041,1938
1840,1575
1338,1033
798,597
537,566
691,934
1204,1507
1739,1942
2033,2010
1902,1637
1403,1088
856,614
558,553
657,864
1154,1452
1701,1905
2023,2014
1936,1722
1505,1176
917,705
588,520
630,829
1057,1358
1612,1821
1996,2035
1966,1777
1570,1221
978,714
596,519
594,757
989,1284
1554,1806
1980,2059
1993,1820
1612,1305
1061,776
618,527
578,700
930,1231
1512,1766
1944,2021
2020,1871
1720,1372
1112,804
653,526
580,671
870,1153
1435,1699
1909,2035
2036,1907
1741,1436
1183,877
713,554
535,620
783,1065
1369,1651
1868,2011
2059,1949
1789,1511
1254,961
751,568
540,544
770,1016
1269,1582
1857,1943
2053,1977
1846,1556
1317,1007
790,594
536,581
713,933
1216,1528
1763,1955
2044,1997
1886,1669
1401,1076
909,622
539,544
648,887
1168,1463
1712,1908
1993,2021
1922,1717
1482,1126
883,649
556,568
635,825
1081,1406
1627,1868
2001,2030
1955,1743
1534,1216
970,696
587,530
599,780
1024,1310
1610,1824
1978,2038
1989,1813
1588,1276
1040,752
640,534
571,724
965,1227
1524,1764
1970,2027
2014,1841
1650,1333
1072,799
635,535
563,667
883,1154
1459,1729
1894,2025
2036,1921
1719,1426
1171,869
687,542
557,648
829,1107
1373,1652
1849,2010
2040,1940
1783,1469
1222,918
739,562
533,605
766,1022
1292,1609
1834,1991
2042,1979
1836,1568
1318,984
774,595
485,583
717,939
1243,1532
1787,1972
2036,1987
1874,1644
1364,1013
822,593
541,549
680,907
1194,1472
1720,1919
2027,2034
1912,1672
1440,1117
883,648
624,535
644,851
1120,1430
1687,1897
2014,2028
1936,1761
1522,1172
948,684
561,519
619,788
1000,1314
1603,1849
1981,2038
2007,1789
1568,1267
1018,746
633,518
587,732
974,1260
1527,1773
1965,2034
2006,1777
1676,1348
1100,787
646,565
579,700
933,1168
1466,1734
1934,2038
2041,1905
1702,1400
1147,872
661,562
557,648
848,1109
1392,1682
1903,2006
2035,1897
1750,1472
1222,903
711,629
560,628
775,1074
1337,1623
1872,1997
2041,1964
1809,1556
1278,980
753,580
532,595
740,984
1239,1538
1796,1969
2046,1996
1867,1618
1349,1033
817,592
561,555
709,922
1191,1486
1746,1925
2033,2010
1908,1675
1434,1090
852,636
552,543
654,842
1114,1421
1676,1893
2014,2022
1944,1733
1492,1167
926,684
553,522
596,795
1039,1371
1638,1879
2000,2032
1973,1742
1561,1246
987,726
583,514
589,730
974,1281
1555,1811
1973,2028
2000,1832
1617,1305
1052,768
635,522
574,702
909,1194
1476,1755
1944,2008
2022,1881
1688,1404
1130,851
661,570
555,673
917,1137
1420,1665
1899,2009
2039,1912
1752,1473
1177,874
722,543
531,617
804,1015
1338,1635
1838,2005
2053,1955
1791,1519
1264,942
748,542
535,597
742,1003
1291,1582
1805,1970
2042,1983
1833,1597
1338,1024
801,596
531,544
698,926
1197,1530
1748,1945
2033,1997
1900,1656
1411,1087
832,611
539,539
661,877
1130,1455
1723,1917
2036,2035
1940,1729
1468,1156
922,667
591,520
634,827
1075,1376
1627,1871
2001,2029
1978,1750
1539,1193
957,705
595,500
593,758
1000,1291
1572,1844
1992,1985
1994,1839
1598,1301
1030,753
614,568
581,763
947,1244
1520,1766
1949,2023
2044,1867
1669,1333
1086,800
639,518
550,674
886,1160
1442,1707
1911,2018
2028,1914
1718,1417
1175,845
689,544
539,633
847,1091
1373,1660
1892,1999
2032,1941
1781,1507
1259,945
685,563
527,621
766,1019
1351,1584
1838,1982
2049,1967
1830,1629
1318,1009
791,596
531,574
715,941
1244,1541
1783,1959
2050,1994
1867,1634
1414,1064
839,621
531,619
596,895
1166,1443
1709,1936
2019,2012
1923,1684
1457,1109
878,658
543,528
635,827
1057,1374
1672,1881
2020,2030
1945,1767
1600,1209
947,700
583,537
622,770
1022,1327
1599,1838
1985,2043
2017,1832
1599,1263
1025,741
601,525
583,734
952,1276
1533,1776
1953,2034
2002,1846
1638,1326
1100,803
619,506
549,674
902,1181
1469,1743
1951,2021
2026,1894
1714,1420
1163,847
661,520
549,637
842,1112
1392,1664
1897,2012
2027,1927
1756,1477
1204,917
724,577
540,608
774,1026
1331,1618
1844,2008
2044,1963
1846,1546
1301,985
765,579
518,597
739,921
1248,1540
1782,1964
2043,1996
1867,1634
1382,1029
793,611
557,575
687,903
1197,1452
1747,1974
2040,2011
1912,1674
1438,1107
909,623
557,544
660,860
1124,1383
1684,1890
2013,1972
1939,1743
1519,1167
930,684
580,521
614,806
1047,1325
1609,1815
2005,2027
1970,1776
1562,1247
978,707
648,523
587,731
987,1307
1554,1800
1974,2037
1976,1840
1650,1350
1072,756
625,522
552,712
908,1194
1424,1746
1937,2035
2015,1878
1694,1395
1131,830
666,527
540,648
841,1112
1444,1689
1909,2023
2022,1925
1765,1486
1213,907
704,546
535,636
794,1056
1322,1616
1851,1997
2054,1945
1804,1541
1274,954
753,569
557,573
794,1003
1267,1567
1820,1988
2018,1976
1845,1587
1340,1022
791,605
529,573
724,936
1212,1504
1741,1938
2039,2007
1916,1665
1426,1030
836,631
558,525
651,868
1105,1428
1677,1905
2025,2023
1929,1734
1479,1165
924,673
573,527
630,828
1076,1369
1636,1878
2006,2025
1966,1768
1551,1235
1000,708
583,518
594,761
995,1289
1572,1836
1965,2037
1988,1824
1615,1297
1052,765
620,506
569,700
919,1220
1506,1777
1957,2021
2030,1869
1705,1372
1118,812
653,491
557,680
895,1107
1391,1708
1916,2011
1971,1934
1733,1369
1166,864
692,543
543,624
814,1086
1353,1638
1870,2003
2058,1944
1783,1510
1252,937
735,547
510,611
777,1046
1290,1584
1798,1983
2043,1980
1840,1580
1307,1000
778,600
536,576
709,958
1217,1519
1739,1945
2031,2000
1895,1635
1396,1072
819,637
539,540
664,882
1156,1461
1729,1917
2030,2024
1929,1694
1450,1148
884,642
565,504
654,828
1078,1374
1644,1866
1997,2049
1962,1755
1526,1181
968,707
589,523
605,761
1002,1325
1600,1841
1989,2171
2015,1750
1599,1305
1036,763
595,519
576,744
974,1242
1483,1765
1955,2038
2010,1904
1650,1452
1089,791
641,481
591,680
905,1143
1407,1732
1890,2027
2049,1909
1720,1424
1169,867
669,542
516,648
835,1111
1387,1661
1879,2011
2038,1936
1781,1513
1222,915
716,581
560,608
752,1065
1316,1597
1827,1991
2048,1956
1828,1547
1307,1005
793,585
534,594
722,985
1250,1536
1781,1950
2018,1994
1872,1623
1388,1049
804,620
556,556
677,897
1164,1451
1710,1914
2025,2014
1910,1695
1420,1132
887,648
565,536
658,804
1052,1464
1689,1896
2030,1985
1947,1734
1514,1177
948,662
575,555
696,783
1039,1345
1606,1847
1988,2022
1968,1781
1576,1249
1002,723
604,532
587,726
974,1258
1534,1808
1962,2035
2014,1857
1642,1322
1057,779
635,524
505,700
936,1198
1493,1764
1936,2030
2023,1889
1693,1408
1144,833
665,531
549,652
841,1098
1400,1704
1884,2017
2033,1892
1748,1482
1206,903
712,573
517,622
818,1072
1347,1625
1866,1995
2040,1956
1809,1536
1288,983
748,574
563,591
741,987
1269,1548
1797,1952
2040,1978
1877,1599
1345,1037
815,594
537,563
687,907
1207,1479
1748,1943
2026,2023
1910,1675
1429,1095
870,712
555,517
649,872
1126,1439
1680,1901
1996,2005
1944,1729
1482,1155
906,684
576,530
617,770
1051,1336
1617,1873
2005,2029
1977,1765
1560,1245
1012,714
602,526
553,754
979,1285
1563,1802
1970,2027
1994,1834
1634,1292
1042,766
609,521
576,729
867,1214
1486,1727
1945,2034
1996,1871
1679,1383
1132,830
659,544
550,650
870,1150
1428,1684
1901,2023
2040,1891
1751,1467
1216,873
674,555
556,627
805,1061
1338,1649
1871,1993
2000,1944
1782,1499
1249,932
739,568
530,598
729,995
1309,1595
1835,1997
2025,1972
1854,1582
1323,1010
796,594
531,638
738,945
1209,1509
1768,1951
1983,2002
1897,1630
1374,1078
846,570
532,550
665,874
1139,1452
1717,1918
2023,2012
1939,1712
1475,1159
909,671
578,523
635,830
1100,1371
1604,1870
2020,2025
1962,1815
1551,1202
956,707
591,526
603,757
1013,1322
1567,1816
1995,2018
1988,1747
1596,1282
1037,766
613,522
570,711
952,1241
1509,1772
1950,2042
2005,1881
1676,1369
1126,802
626,529
552,674
880,1149
1431,1686
1914,2019
2038,1914
1727,1432
1176,884
692,544
540,639
820,1110
1397,1654
1823,2013
2040,1945
1782,1506
1250,916
709,554
525,614
776,1038
1311,1604
1827,1998
2042,2001
1847,1573
1310,991
778,606
541,579
691,960
1245,1511
1805,1961
2041,2009
1870,1628
1399,1078
859,623
552,632
687,916
1170,1468
1723,1922
2029,2010
1924,1693
1494,1119
885,659
557,535
644,825
1085,1396
1650,1879
2014,2011
1949,1751
1524,1210
951,734
574,522
610,786
1035,1332
1604,1828
1987,2041
2010,1811
1571,1271
1039,727
604,524
583,737
974,1260
1521,1786
1967,2037
2005,1821
1648,1331
1078,821
638,519
549,671
893,1223
1480,1802
1936,2046
2033,1894
1710,1400
1150,852
678,521
543,654
820,1119
1399,1682
1909,2001
2030,1935
1740,1476
1218,907
644,550
531,607
789,1042
1313,1600
1860,1998
2041,1958
1803,1544
1300,967
732,580
533,441
737,988
1250,1543
1791,1949
2057,1995
1872,1634
1340,1024
808,615
537,583
701,885
1182,1477
1717,1920
2024,1995
1911,1665
1440,1107
895,645
570,547
644,842
1115,1384
1675,1867
2010,2028
1934,1740
1514,1184
924,675
572,538
630,793
1088,1335
1635,1848
1996,2049
1979,1764
1561,1266
1000,783
594,500
596,740
970,1289
1570,1781
1970,2038
2007,1821
1635,1322
1098,791
631,537
565,686
896,1211
1469,1730
1926,2012
2038,1879
1722,1386
1118,822
651,526
535,627
844,1123
1392,1697
1892,2010
2023,1872
1743,1452
1208,882
696,535
528,650
792,1063
1336,1646
1863,1974
2031,1927
1821,1530
1257,932
732,567
531,577
739,980
1261,1545
1784,1971
2031,1945
1844,1582
1330,1018
792,585
541,566
691,931
1213,1511
1743,1945
2027,1993
1884,1644
1395,1078
823,615
531,521
659,872
1170,1429
1688,1898
2007,2008
1921,1770
1438,1152
896,649
573,519
612,804
1055,1374
1649,1863
1996,2016
1960,1771
1532,1269
956,723
578,500
596,757
979,1288
1569,1815
1988,2081
1936,1818
1635,1271
1026,718
591,501
568,694
870,1203
1486,1769
1923,2016
2007,1854
1650,1348
1071,817
639,521
533,661
881,1147
1435,1699
1901,2024
1994,1899
1732,1429
1156,876
687,537
536,619
790,1064
1344,1652
1845,2003
2020,1930
1775,1521
1260,921
725,566
521,582
774,1011
1283,1581
1799,1967
2027,1966
1831,1562
1298,1022
765,565
528,570
699,912
1217,1516
1743,1929
2023,1978
1869,1658
1362,1043
831,612
531,544
669,870
1139,1459
1718,1896
2016,2010
1895,1709
1455,1115
891,659
556,532
620,830
1079,1347
1639,1866
1999,2008
1962,1736
1506,1185
934,727
557,515
597,765
987,1344
1570,1828
1973,1993
1975,1771
1588,1271
1021,752
611,510
572,721
939,1237
1513,1763
1949,2023
2003,1853
1653,1332
1076,785
646,517
539,665
878,1174
1446,1723
1883,2023
2003,1882
1691,1437
1156,833
661,518
531,632
844,1115
1376,1672
1872,2025
2019,1927
1771,1470
1214,881
708,549
524,607
744,1025
1291,1590
1819,2011
2058,1975
1832,1519
1283,967
755,571
519,518
713,959
1243,1545
1788,1944
2038,2006
1870,1605
1344,1036
818,603
514,542
676,905
1178,1479
1719,1923
2022,1997
1874,1604
1416,1099
856,657
518,530
613,853
1091,1396
1675,1893
2013,2007
1926,1727
1490,1232
989,687
568,513
609,798
1037,1344
1604,1839
1977,2023
1973,1789
1556,1232
989,718
586,516
589,724
956,1247
1531,1768
1957,2023
1994,1853
1627,1327
1057,747
620,549
569,680
921,1193
1481,1743
1914,2012
2010,1872
1695,1378
1140,819
640,527
554,657
846,1087
1399,1671
1913,2002
2014,1902
1731,1438
1187,884
713,538
526,618
780,1039
1374,1627
1845,1962
2043,1948
1803,1522
1248,962
761,577
518,582
742,963
1259,1555
1790,1971
2028,1980
1854,1595
1324,1006
784,587
523,578
678,911
1176,1480
1734,1935
2028,1989
1893,1660
1416,1008
791,630
543,535
654,895
1123,1417
1676,1888
2001,2008
1940,1696
1482,1109
895,650
557,491
609,804
1074,1367
1648,1854
1999,2031
1954,1739
1518,1207
970,700
578,517
588,757
1007,1292
1578,1819
1966,2025
1962,1815
1640,1292
1056,744
615,518
569,710
909,1210
1494,1735
1973,2012
2017,1847
1655,1371
1091,817
643,508
543,690
865,1139
1431,1711
1892,2010
2046,1888
1731,1430
1182,872
670,532
533,613
802,1124
1344,1639
1850,2010
2031,1944
1780,1492
1249,908
724,563
520,590
757,992
1236,1549
1814,1966
2040,1967
1834,1566
1330,985
822,582
530,556
713,952
1208,1488
1743,1943
2029,2084
1885,1649
1367,1061
841,616
531,530
656,848
1142,1438
1699,1902
2023,2010
1916,1712
1452,1059
895,657
553,520
623,829
1052,1374
1648,1867
1981,2002
1962,1759
1522,1211
969,708
570,540
599,753
995,1286
1558,1821
1976,2033
1982,1796
1591,1275
1070,728
605,513
585,640
931,1252
1546,1780
1945,2027
2001,1854
1623,1375
1163,802
620,514
563,670
874,1207
1431,1725
1964,2028
2038,1892
1701,1411
1147,845
663,520
539,634
806,1074
1355,1638
1868,2019
2028,1919
1779,1495
1238,896
717,556
524,605
763,1037
1311,1595
1844,1976
2040,1961
1836,1556
1284,955
774,582
508,537
716,939
1243,1516
1754,1956
2026,1977
1880,1609
1364,1075
804,605
534,540
665,897
1156,1452
1678,1920
2020,1999
1914,1678
1446,1117
861,628
542,543
635,822
1069,1386
1650,1866
2010,2027
1966,1742
1500,1176
909,691
578,517
591,817
1005,1331
1615,1856
1985,2021
1966,1779
1574,1288
1013,740
589,528
578,748
960,1250
1529,1765
1937,2023
2004,1854
1624,1318
1078,780
629,532
557,700
937,1179
1447,1740
1921,2019
2020,1892
1703,1404
1121,883
670,530
510,642
809,1101
1386,1669
1883,1986
2023,1918
1753,1549
1196,882
728,530
516,622
794,1020
1333,1606
1831,1990
2038,1948
1835,1497
1272,959
750,568
531,562
765,923
1261,1552
1806,1945
2036,1957
1848,1601
1359,1048
797,628
510,545
677,906
1166,1481
1729,1922
2025,1995
1895,1648
1421,1163
868,643
530,522
653,886
1057,1378
1710,1896
1971,1997
1936,1721
1497,1174
920,753
560,517
614,798
1048,1334
1611,1873
1987,2024
1970,1742
1548,1218
987,713
583,517
557,754
987,1250
1539,1815
1975,2036
1988,1834
1682,1298
1043,765
612,515
574,707
923,1222
1483,1753
1953,2029
2066,1871
1678,1349
1103,780
646,518
549,653
836,1134
1410,1680
1886,2027
2002,1956
1731,1451
1179,882
687,532
522,604
801,1075
1316,1633
1866,1995
2042,1940
1784,1523
1266,943
713,527
532,584
761,993
1265,1551
1783,1922
2024,1943
1820,1577
1325,1001
783,581
529,581
702,924
1208,1418
1754,1957
2040,1995
1894,1634
1361,1087
849,649
534,549
648,869
1119,1432
1658,1937
2001,2012
1939,1686
1483,1135
896,671
578,528
605,800
1062,1346
1637,1867
2014,2072
1962,1753
1533,1215
952,694
582,509
604,765
1009,1297
1572,1821
1965,2010
1975,1802
1598,1258
1001,705
609,520
570,724
931,1218
1492,1777
1936,2023
1988,1841
1653,1347
1122,804
631,565
533,660
879,1164
1444,1711
1909,2006
2018,1893
1718,1426
1151,855
667,555
533,604
817,1099
1356,1647
1848,2005
2036,1894
1656,1477
1231,910
733,552
535,577
754,992
1280,1597
1822,1970
2044,1963
1832,1556
1312,961
782,574
529,570
741,952
1224,1523
1753,1953
2023,1991
1858,1613
1365,1035
819,607
537,539
652,898
1155,1451
1727,1883
2027,1997
1906,1672
1437,1104
876,670
556,474
597,841
1101,1369
1635,1906
1998,1993
1948,1730
1519,1168
921,686
557,508
589,796
1021,1300
1591,1830
1992,2038
1966,1777
1615,1259
1003,735
596,461
566,713
972,1253
1524,1768
1905,2025
2001,1852
1652,1322
1052,774
570,517
551,685
900,1145
1462,1725
1925,2019
2025,1879
1693,1387
1148,838
661,542
565,633
808,1088
1390,1636
1859,2003
2022,1924
1762,1429
1234,933
713,555
533,604
777,1027
1273,1590
1828,1971
2040,1961
1896,1528
1275,965
726,575
530,568
722,958
1261,1532
1805,1956
2030,1975
1866,1554
1352,1017
797,604
535,555
687,951
1182,1464
1726,1920
2043,2006
1903,1678
1450,1089
845,648
548,525
648,835
1098,1399
1671,1873
2009,2023
1933,1725
1490,1181
925,678
569,532
609,808
1050,1328
1617,1801
1962,2025
1973,1789
1570,1224
1039,710
581,542
586,740
966,1253
1561,1786
1962,2089
1976,1764
1624,1297
1054,774
618,508
508,676
891,1200
1470,1738
1918,1993
2014,1875
1692,1372
1127,840
659,538
540,648
845,1127
1409,1677
1903,2009
2027,1917
1729,1439
1178,877
672,534
558,616
771,1058
1338,1639
1855,1984
2042,1943
1792,1511
1279,948
751,566
514,585
761,1016
1265,1552
1801,1946
2042,1971
1867,1588
1289,1033
776,589
492,551
687,918
1182,1483
1734,1931
2019,1997
1884,1670
1403,1085
856,639
535,529
649,907
1116,1434
1685,1931
1984,2011
1929,1690
1470,1154
893,620
537,526
620,803
1032,1341
1612,1854
1996,2021
1938,1724
1540,1219
978,733
586,500
682,728
979,1270
1567,1815
1962,1999
1983,1824
1600,1297
1038,758
608,513
557,714
919,1203
1479,1734
1913,2025
2010,1890
1650,1346
1113,796
641,519
548,659
870,1139
1399,1712
1923,2010
2014,1895
1740,1452
1170,880
687,525
530,598
807,1078
1362,1639
1846,2034
2035,1938
1780,1508
1235,932
727,553
514,603
752,1001
1250,1599
1792,1954
2064,1961
1804,1589
1383,1000
778,589
527,549
704,887
1213,1505
1769,1972
2064,1972
1879,1633
1404,1084
818,637
540,538
661,863
1118,1439
1766,1897
2007,2013
1909,1691
1472,1129
893,647
555,519
623,808
1070,1401
1655,1867
2003,1969
1942,1722
1555,1202
952,693
570,537
604,803
1013,1296
1583,1824
1966,2032
1983,1785
1577,1258
1006,708
606,539
572,713
933,1235
1505,1775
1949,2037
2002,1840
1651,1304
1078,799
650,526
557,682
887,1176
1454,1713
1893,2011
2020,1935
1719,1419
1145,857
660,523
487,637
810,1093
1364,1651
1869,1948
2028,1923
1754,1454
1222,911
726,542
518,588
779,1035
1326,1596
1830,1989
2070,1961
1802,1556
1333,938
758,675
527,573
724,932
1229,1535
1740,1897
2026,2044
1866,1608
1363,1050
822,609
543,543
648,881
1169,1465
1716,1920
2021,2002
1910,1678
1437,1098
871,648
554,530
667,831
1105,1396
1677,1858
2010,2022
1944,1713
1492,1192
926,674
574,516
601,774
1026,1305
1561,1845
1971,2021
1983,1789
1566,1255
1007,729
595,514
580,736
970,1249
1518,1777
1949,2025
1957,1893
1663,1321
1052,765
601,518
548,686
878,1175
1457,1661
1910,2012
2009,1866
1695,1387
1132,813
661,467
520,622
846,1147
1407,1682
1877,2008
2014,1922
1740,1457
1208,887
693,538
552,596
774,1036
1309,1627
1836,1971
2027,1954
1781,1516
1259,920
751,555
532,575
731,981
1274,1562
1769,1974
2042,1981
1809,1578
1338,1031
795,603
522,564
687,920
1186,1494
1745,1925
2018,1997
1910,1625
1396,1070
849,631
543,520
646,855
1114,1413
1706,1905
2010,2018
1908,1701
1483,1161
916,671
560,502
617,796
1082,1341
1616,1821
1988,2026
1977,1774
1561,1218
969,714
596,513
570,746
987,1268
1544,1768
1970,2019
1986,1810
1601,1301
1046,757
598,507
559,705
922,1160
1486,1759
1944,2025
2014,1867
1679,1376
1130,812
649,528
537,650
846,1141
1416,1699
1900,2013
2030,1897
1727,1448
1182,870
685,544
530,622
790,1078
1340,1644
1862,1998
2034,1944
1788,1506
1234,933
738,562
530,611
767,1011
1283,1579
1806,1968
2040,1969
1838,1550
1312,993
769,586
518,561
716,911
1196,1500
1758,1951
2028,1970
1866,1634
1392,1072
836,662
532,495
695,881
1138,1447
1708,1906
2010,2016
1918,1684
1473,1115
884,635
541,470
620,811
1075,1352
1624,1685
1996,2021
1977,1749
1521,1195
974,700
578,517
587,751
1006,1294
1574,1828
1957,2024
1989,1808
1591,1291
1026,730
597,504
560,712
974,1220
1511,1764
1938,2014
2005,1845
1647,1331
1053,795
671,539
531,665
868,1177
1446,1721
1899,2006
2017,1893
